# gzz component calculated with tessgzz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
-0.0005 -0.0005 5.0 0.000165761 0.0789177 0.244533 -0.0440008 0.0789177 -0.0440008 -0.157836
-0.000475 -0.0005 5.0 0.000178458 0.0982314 0.262699 -0.049761 0.0712648 -0.0472723 -0.169496
-0.00045 -0.0005 5.0 0.000192079 0.120674 0.281308 -0.0562508 0.0612737 -0.050624 -0.181948
-0.000425 -0.0005 5.0 0.000206637 0.14659 0.300059 -0.0635351 0.0486054 -0.0540017 -0.195195
-0.0004 -0.0005 5.0 0.000222131 0.176304 0.318548 -0.071672 0.0329193 -0.0573326 -0.209224
-0.000375 -0.0005 5.0 0.000238535 0.210105 0.336261 -0.0807089 0.0138947 -0.0605242 -0.224
-0.00035 -0.0005 5.0 0.000255794 0.248207 0.352562 -0.090675 -0.00874286 -0.063462 -0.239465
-0.000325 -0.0005 5.0 0.00027382 0.290716 0.366689 -0.101573 -0.0351877 -0.0660084 -0.255528
-0.0003 -0.0005 5.0 0.000292482 0.337578 0.377753 -0.11337 -0.0655136 -0.0680038 -0.272066
-0.000275 -0.0005 5.0 0.000311603 0.388538 0.384771 -0.125988 -0.0996253 -0.0692706 -0.288914
-0.00025 -0.0005 5.0 0.000330953 0.44308 0.386688 -0.139294 -0.137213 -0.0696187 -0.305867
-0.000225 -0.0005 5.0 0.000350249 0.500386 0.382437 -0.153088 -0.177708 -0.0688563 -0.322679
-0.0002 -0.0005 5.0 0.000369157 0.559312 0.371026 -0.167104 -0.220248 -0.066804 -0.339064
-0.000175 -0.0005 5.0 0.000387297 0.61837 0.351616 -0.181006 -0.263671 -0.0633112 -0.3547
-0.00015 -0.0005 5.0 0.000404252 0.675775 0.323648 -0.194397 -0.306533 -0.0582767 -0.369243
-0.000125 -0.0005 5.0 0.000419587 0.729502 0.286934 -0.206835 -0.347162 -0.0516669 -0.382339
-9.99998e-05 -0.0005 5.0 0.000432869 0.7774 0.241753 -0.217853 -0.383762 -0.0435321 -0.393636
-7.49998e-05 -0.0005 5.0 0.000443687 0.817345 0.18891 -0.226995 -0.414538 -0.0340171 -0.402809
-4.99997e-05 -0.0005 5.0 0.000451695 0.847441 0.12974 -0.233857 -0.437862 -0.0233624 -0.40958
-2.49997e-05 -0.0005 5.0 0.000456615 0.866157 0.0660482 -0.238114 -0.452425 -0.0118935 -0.413734
2.91038e-10 -0.0005 5.0 0.000458276 0.872512 -7.86629e-07 -0.239557 -0.457378 1.41651e-07 -0.415135
2.50003e-05 -0.0005 5.0 0.000456615 0.866157 -0.0660499 -0.238114 -0.452425 0.0118937 -0.413734
5.00003e-05 -0.0005 5.0 0.000451695 0.847441 -0.129741 -0.233857 -0.437862 0.0233627 -0.40958
7.50003e-05 -0.0005 5.0 0.000443687 0.817343 -0.188911 -0.226994 -0.414537 0.0340172 -0.402808
0.0001 -0.0005 5.0 0.000432867 0.777396 -0.241752 -0.217852 -0.383761 0.0435319 -0.393635
0.000125 -0.0005 5.0 0.000419587 0.729502 -0.286934 -0.206835 -0.347162 0.0516669 -0.382339
0.00015 -0.0005 5.0 0.000404252 0.675775 -0.323648 -0.194397 -0.306533 0.0582767 -0.369243
0.000175 -0.0005 5.0 0.000387297 0.61837 -0.351616 -0.181006 -0.263671 0.0633112 -0.3547
0.0002 -0.0005 5.0 0.000369157 0.559312 -0.371026 -0.167104 -0.220248 0.066804 -0.339064
0.000225 -0.0005 5.0 0.000350249 0.500386 -0.382437 -0.153088 -0.177708 0.0688563 -0.322679
0.00025 -0.0005 5.0 0.000330953 0.44308 -0.386688 -0.139294 -0.137213 0.0696187 -0.305867
0.000275 -0.0005 5.0 0.000311603 0.388538 -0.384771 -0.125988 -0.0996253 0.0692706 -0.288914
0.0003 -0.0005 5.0 0.000292482 0.337578 -0.377753 -0.11337 -0.0655136 0.0680038 -0.272066
0.000325 -0.0005 5.0 0.00027382 0.290716 -0.366689 -0.101573 -0.0351877 0.0660084 -0.255528
