# gzz component calculated with tessgzz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
-1.0 -1.0 20000 0.00462464 0.000968252 0.00302716 -0.000611484 0.000969174 -0.000611577 -0.00193743
-0.95 -1.0 20000 0.00495769 0.00120651 0.00325176 -0.000688573 0.000873701 -0.000654237 -0.00208021
-0.9 -1.0 20000 0.0053144 0.00148338 0.00348181 -0.000775198 0.000749256 -0.000697769 -0.00223264
-0.85 -1.0 20000 0.00569512 0.00180309 0.00371355 -0.000872179 0.000591645 -0.000741442 -0.00239474
-0.8 -1.0 20000 0.00609976 0.00216967 0.00394201 -0.000980257 0.000396673 -0.000784292 -0.00256634
-0.75 -1.0 20000 0.00652761 0.00258665 0.00416084 -0.00110002 0.000160383 -0.000825098 -0.00274703
-0.7 -1.0 20000 0.00697724 0.00305668 0.00436217 -0.00123182 -0.000120609 -0.000862352 -0.00293607
-0.65 -1.0 20000 0.00744633 0.00358104 0.00453659 -0.00137567 -0.000448697 -0.000894255 -0.00313235
-0.6 -1.0 20000 0.00793147 0.00415912 0.00467316 -0.0015311 -0.000824777 -0.000918728 -0.00333434
-0.55 -1.0 20000 0.00842807 0.00478772 0.0047597 -0.00169709 -0.00124768 -0.000933456 -0.00354005
-0.5 -1.0 20000 0.00893019 0.00546053 0.0047832 -0.00187186 -0.00171356 -0.000935976 -0.00374697
-0.45 -1.0 20000 0.00943057 0.00616748 0.00473051 -0.00205282 -0.00221539 -0.000923805 -0.00395209
-0.4 -1.0 20000 0.00992058 0.00689446 0.00458932 -0.00223649 -0.00274253 -0.000894624 -0.00415192
-0.35 -1.0 20000 0.0103904 0.00762319 0.0043493 -0.0024185 -0.00328062 -0.000846496 -0.00434258
-0.3 -1.0 20000 0.0108294 0.00833162 0.00400345 -0.0025937 -0.00381176 -0.000778121 -0.00451986
